# _tick,_time,step,total_loss,mean_episode_return,mean_episode_true_return,pg_loss,baseline_loss,entropy_loss
0,1631057108.798249,0,80797.75,nan,nan,22632.349609375,58174.6484375,-9.248048782348633
1,1631057108.8895357,320,71879.3671875,nan,nan,20936.31640625,50952.2890625,-9.244534492492676
2,1631057108.9629831,640,8282.6240234375,nan,nan,4896.9150390625,3394.485107421875,-8.776301383972168
3,1631057109.0986502,960,248.58714294433594,nan,nan,209.81005859375,41.87810134887695,-3.1010196208953857
4,1631057109.2378955,1280,-3.9198479652404785,nan,nan,-4.858206748962402,3.037224292755127,-2.098865509033203
5,1631057109.4109592,1600,5.055712699890137,nan,nan,0.20614618062973022,4.8522186279296875,-0.0026520893443375826
6,1631057109.5492597,1920,1.1760787963867188,nan,nan,1.1817895551047286e-09,1.1760787963867188,-1.218264794600188e-10
7,1631057109.651733,2240,28.267860412597656,nan,nan,-1.695543510501259e-20,28.267860412597656,-1.3498251960689564e-22
8,1631057109.8289566,2560,2.2539358139038086,nan,nan,6.4407670308241904e-09,2.2539358139038086,-4.249801899280925e-10
9,1631057110.0714703,2880,4.343981742858887,nan,nan,0.0712389424443245,4.273741722106934,-0.0009989378741011024
10,1631057110.2394435,3200,1.356457233428955,nan,nan,9.908129428026768e-09,1.356457233428955,-6.734715563005977e-10
11,1631057110.4029586,3520,4.174915313720703,nan,nan,-4.713807834641636e-18,4.174915313720703,-1.254321558979838e-19
12,1631057110.6004772,3840,0.3082474172115326,2250.0,330.0,1.1179591474785866e-08,0.3082474172115326,-1.1249191578244222e-09
13,1631057110.7785568,4160,2.4080538749694824,nan,nan,-6.4603963893249036e-18,2.4080538749694824,-2.2021411647479255e-19
14,1631057110.9882677,4480,0.15693826973438263,nan,nan,5.080259768419637e-09,0.15693826973438263,-5.655229617929081e-10
15,1631057111.177173,4800,2.000344753265381,2210.0,330.0,-6.199800168375279e-18,2.000344753265381,-2.4342017742147904e-19
16,1631057111.3797462,5120,0.22313740849494934,2250.0,330.0,1.7323502632393684e-09,0.22313740849494934,-2.637126628179942e-10
17,1631057111.5298862,5440,2.1569576263427734,2210.0,330.0,-7.885130622025013e-18,2.1569576263427734,-2.877765486975046e-19
18,1631057111.7287085,5760,8.423761367797852,nan,nan,8.411306096078874e-10,8.423761367797852,-1.406208066656589e-10
19,1631057111.9755495,6080,2.078329086303711,nan,nan,-8.566823399719764e-18,2.078329086303711,-2.947357225884898e-19
20,1631057112.0944192,6400,0.06054696440696716,nan,nan,4.1976225273465673e-10,0.06054696440696716,-7.967890236493247e-11
21,1631057112.2370918,6720,1.1783030033111572,2220.0,330.0,-1.3804058718275768e-17,1.1783030033111572,-2.0083352029191947e-19
22,1631057112.3975136,7040,9.037455558776855,nan,nan,3.480032373381903e-10,9.037455558776855,-4.111877505152961e-11
23,1631057112.6206386,7360,1.6158331632614136,nan,nan,-1.1931189462557705e-17,1.6158331632614136,-2.3092628635311326e-19
24,1631057112.8202531,7680,0.1430894136428833,2710.0,470.0,2.0033043279799045e-10,0.1430894136428833,-1.8428139222925743e-11
25,1631057112.9681978,8000,0.433772474527359,nan,nan,-1.506626933140207e-17,0.433772474527359,-2.0457322969066585e-19
26,1631057113.149252,8320,0.0578269436955452,nan,nan,1.56226975800422e-10,0.0578269436955452,-1.3131242621033934e-11
27,1631057113.2839181,8640,1467271.875,1938.3333740234375,273.3333435058594,-9.94474169129121e-19,1467271.875,-7.387456992892178e-20
28,1631057113.5025675,8960,405918.28125,2170.0,240.0,-8.878307117266004e-11,405918.28125,-5.7615227692930926e-12
29,1631057113.6561005,9280,103872.53125,2566.0,376.0,1.1889522284036502e-05,103872.53125,-9.268986218557984e-07
30,1631057113.8043563,9600,21406.00390625,1967.1429443359375,274.2857360839844,0.03223583102226257,21405.97265625,-0.002247307915240526
31,1631057113.962721,9920,9365.7392578125,3260.0,572.5,67.42738342285156,9298.876953125,-0.565861165523529
32,1631057114.1110523,10240,16844.134765625,2742.5,457.5,0.021903950721025467,16844.115234375,-0.0011934359790757298
33,1631057114.3570364,10560,12782.998046875,3742.5,852.5,25.796409606933594,12757.5,-0.2984299957752228
34,1631057114.5464158,10880,16224.0712890625,3485.0,705.0,0.01715080812573433,16224.0546875,-0.000986939761787653
35,1631057115.4292889,11200,15714.068359375,2236.0,378.0,12.803836822509766,15701.3828125,-0.11800569295883179
36,1631057115.873582,11520,18203.068359375,2965.0,610.0,0.009391123428940773,18203.05859375,-0.000584266206715256
37,1631057116.190887,11840,15012.146484375,1990.0,317.5,7.1676836013793945,15005.0537109375,-0.07484042644500732
38,1631057116.4388428,12160,23823.625,2210.0,382.5,0.003236014861613512,23823.62109375,-0.00024396507069468498
39,1631057116.6465788,12480,9688.72265625,838.3333740234375,65.0,1.152336597442627,9687.6015625,-0.031306274235248566
40,1631057117.1405246,12800,30900.69921875,888.0,60.0,0.2710680067539215,30900.427734375,-0.0002767082187347114
41,1631057117.30102,13120,11817.24609375,2326.0,464.0,2.5013575553894043,11814.7890625,-0.04432857409119606
42,1631057117.8450327,13440,35904.42578125,963.3333740234375,55.0,0.2867996096611023,35904.140625,-0.00041461928049102426
