# _tick,_time,step,total_loss,mean_episode_return,mean_episode_true_return,pg_loss,baseline_loss,entropy_loss
152,1630993730.7459714,48640,5092.85498046875,3460.0,220.0,445.5800476074219,4650.86669921875,-3.5918474197387695
153,1630993730.9144852,48960,2227.090087890625,3730.0,850.0,311.6669921875,1918.588134765625,-3.165051221847534
154,1630993731.1213257,49280,9222.318359375,2425.0,275.0,118.63101196289062,9106.66015625,-2.972247838973999
155,1630993731.3386493,49600,6762.6982421875,2040.0,456.66668701171875,421.14862060546875,6345.53515625,-3.985172748565674
156,1630993731.6379635,49920,3847.103759765625,3120.0,700.0,247.0491180419922,3604.91064453125,-4.855951309204102
157,1630993731.9165225,50240,7623.5888671875,2465.0,145.0,522.6404418945312,7105.01904296875,-4.070620059967041
158,1630993732.179756,50560,4767.66015625,2140.0,410.0,212.57046508789062,4559.7509765625,-4.661235332489014
159,1630993732.395581,50880,11667.7548828125,3252.5,635.0,-513.2503662109375,12185.046875,-4.042056083679199
160,1630993732.621957,51200,2077.747314453125,3410.0,840.0,673.7625732421875,1408.119384765625,-4.13459587097168
161,1630993732.866909,51520,3566.159423828125,3430.0,820.0,570.733154296875,2999.18798828125,-3.761821746826172
162,1630993733.1269908,51840,2745.32177734375,1375.0,180.0,279.2212829589844,2469.6591796875,-3.5586090087890625
163,1630993733.4492257,52160,4329.30615234375,3790.0,1100.0,212.0513916015625,4120.53857421875,-3.283839225769043
164,1630993733.7373798,52480,1086.5172119140625,1420.0,120.0,590.6781005859375,500.1058349609375,-4.2666802406311035
165,1630993733.9596949,52800,980.850341796875,nan,nan,673.1868286132812,311.8354797363281,-4.171995639801025
166,1630993734.2129025,53120,4729.85986328125,2603.33349609375,590.0,38.38801574707031,4695.8046875,-4.333041667938232
167,1630993734.442518,53440,5667.19140625,2570.0,520.0,-169.272216796875,5839.8408203125,-3.376908302307129
168,1630993734.6696403,53760,1567.8372802734375,1200.0,60.0,374.42315673828125,1196.1240234375,-2.7098143100738525
169,1630993734.9259884,54080,9746.787109375,3410.0,855.0,-236.8102264404297,9986.646484375,-3.049196720123291
170,1630993735.1965737,54400,1281.3592529296875,nan,nan,701.68603515625,583.2479248046875,-3.574680805206299
171,1630993735.4984438,54720,6117.998046875,2315.0,445.0,56.9713134765625,6064.53759765625,-3.5108165740966797
172,1630993735.7573054,55040,4065.349365234375,2575.0,530.0,171.82940673828125,3896.15087890625,-2.630760431289673
173,1630993735.9875343,55360,7295.9990234375,4085.0,865.0,178.55856323242188,7120.107421875,-2.66713547706604
174,1630993736.2623565,55680,4912.66552734375,2620.0,560.0,103.67274475097656,4812.7998046875,-3.806947946548462
175,1630993736.4662523,56000,12464.763671875,2840.0,645.0,25.58490753173828,12442.361328125,-3.1821506023406982
176,1630993736.7588978,56320,4874.05517578125,2235.0,210.0,-21.286972045898438,4899.38330078125,-4.040774345397949
177,1630993737.082007,56640,2881.44970703125,1480.0,120.0,146.82456970214844,2739.07080078125,-4.445509433746338
178,1630993737.3397973,56960,2007.5218505859375,2560.0,330.0,357.6002197265625,1654.24169921875,-4.320019245147705
179,1630993737.5696247,57280,1434.1510009765625,nan,nan,716.8596801757812,720.9168701171875,-3.625602960586548
180,1630993737.778246,57600,1234.806884765625,nan,nan,649.93603515625,588.201904296875,-3.3310089111328125
